instance,n,m,LB,Cmax_random,Cmax_SPT,Cmax_myopic,Cmax_PPO,Cmax_GA,ratio_random,ratio_SPT,ratio_myopic,ratio_PPO,ratio_GA
I_150_30_S_1-124_4.txt,150,30,19.33,1247.6,171.0,125.0,383.0,139.7,64.531,8.845,6.466,19.81,7.224
I_150_30_S_1-99_2.txt,150,30,19.67,957.4,173.0,121.0,331.0,126.7,48.681,8.797,6.153,16.831,6.441
I_150_30_S_1-9_10.txt,150,30,18.57,610.4,60.0,48.0,200.0,48.0,32.876,3.232,2.585,10.772,2.585
I_150_30_S_1-9_2.txt,150,30,20.27,544.4,64.0,56.0,179.0,49.3,26.862,3.158,2.763,8.832,2.434
I_200_10_S_1-99_6.txt,200,10,169.8,2659.2,950.0,456.0,1416.0,804.0,15.661,5.595,2.686,8.339,4.735
I_200_10_S_1-9_10.txt,200,10,193.4,1577.2,360.0,288.0,812.0,321.0,8.155,1.861,1.489,4.199,1.66
I_50_30_S_1-49_8.txt,50,30,5.6,352.2,46.0,46.0,96.0,27.0,62.893,8.214,8.214,17.143,4.821
I_50_30_S_1-49_9.txt,50,30,6.87,358.4,40.0,44.0,88.0,29.3,52.194,5.825,6.408,12.816,4.272
I_50_30_S_1-9_5.txt,50,30,5.73,253.6,28.0,28.0,69.0,14.7,44.233,4.884,4.884,12.035,2.558
I_50_30_S_1-9_6.txt,50,30,6.07,269.8,26.0,23.0,70.0,16.7,44.473,4.286,3.791,11.538,2.747
I_6_2_S_1-49_3.txt,6,2,133.0,328.8,207.0,207.0,173.0,167.0,2.472,1.556,1.556,1.301,1.256
I_6_2_S_1-9_1.txt,6,2,57.0,151.2,89.0,89.0,79.0,74.0,2.653,1.561,1.561,1.386,1.298
I_6_2_S_1-9_2.txt,6,2,133.5,255.8,166.0,166.0,159.0,150.0,1.916,1.243,1.243,1.191,1.124
I_6_3_S_1-124_3.txt,6,3,74.0,332.6,137.0,206.0,127.0,119.0,4.495,1.851,2.784,1.716,1.608
I_6_3_S_1-9_5.txt,6,3,69.67,233.8,121.0,100.0,100.0,95.0,3.356,1.737,1.435,1.435,1.364
MEAN,,,,,,,,,27.697,4.176,3.601,8.623,3.075
